파일명,카테고리,이미지이름,이미지설명,사용하면좋을상황
monitor.svg,01-devices,모니터,컴퓨터 모니터 화면,컴퓨터 구성요소 설명, 출력장치 소개
laptop.svg,01-devices,노트북,휴대용 노트북 컴퓨터,정보기기 종류, 모바일 컴퓨팅
tablet.svg,01-devices,태블릿,태블릿 PC,터치 기반 기기, 모바일 학습
smartphone.svg,01-devices,스마트폰,스마트폰 기기,모바일 기기, 앱 개발
desktop.svg,01-devices,데스크톱,데스크톱 컴퓨터,컴퓨터 구성, 하드웨어 수업
keyboard.svg,01-devices,키보드,입력 장치 키보드,입력장치, 타이핑 수업
mouse.svg,01-devices,마우스,컴퓨터 마우스,입력장치, 인터페이스
printer.svg,01-devices,프린터,문서 출력 프린터,출력장치, 주변기기
webcam.svg,01-devices,웹캠,화상 카메라,영상 입력, 화상 수업
microphone.svg,01-devices,마이크,음성 입력 마이크,입력장치, 음성 인식
speaker.svg,01-devices,스피커,음향 출력 스피커,출력장치, 멀티미디어
headphones.svg,01-devices,헤드폰,음향 헤드폰,출력장치, 개인 학습
cpu.svg,01-devices,CPU,중앙처리장치,컴퓨터 구조, 프로세서 설명
hard-drive.svg,01-devices,하드드라이브,저장장치,보조기억장치, 데이터 저장
memory-stick.svg,01-devices,메모리,메모리 스틱,기억장치, 저장매체
usb.svg,01-devices,USB,USB 연결단자,인터페이스, 데이터 전송
server.svg,01-devices,서버,네트워크 서버,서버 개념, 클라이언트-서버
router.svg,01-devices,라우터,네트워크 라우터,네트워크 장비, 인터넷 연결
camera.svg,01-devices,카메라,디지털 카메라,영상 입력, 멀티미디어
battery.svg,01-devices,배터리,전원 배터리,전원 공급, IoT 기기
bluetooth.svg,01-devices,블루투스,블루투스 무선통신,무선 통신, 근거리 통신
wifi.svg,01-devices,와이파이,무선 인터넷,무선 네트워크, 인터넷 연결
tv.svg,01-devices,TV,텔레비전 화면,디스플레이, 출력장치
smartphone-charging.svg,01-devices,충전,기기 충전,전원 관리, 배터리
gamepad.svg,01-devices,게임패드,게임 컨트롤러,입력장치, 게임 개발
radio.svg,01-devices,라디오,라디오 수신기,통신 기기, 아날로그/디지털
disc.svg,01-devices,디스크,저장 디스크,광학 저장매체, CD/DVD
smartwatch.svg,01-devices,스마트워치,스마트 시계,웨어러블 기기, IoT
signal.svg,01-devices,신호,통신 신호,신호 전송, 네트워크 상태
antenna.svg,01-devices,안테나,무선 안테나,통신 장비, 신호 수신
plug.svg,01-devices,플러그,전원 플러그,전원 연결, 인터페이스
cable.svg,01-devices,케이블,연결 케이블,유선 연결, 데이터 전송
ethernet.svg,01-devices,이더넷,이더넷 포트,유선 네트워크, LAN
hdmi.svg,01-devices,HDMI,HDMI 포트,영상 출력, 인터페이스
projector.svg,01-devices,프로젝터,영상 프로젝터,출력장치, 프레젠테이션
scan.svg,01-devices,스캐너,문서 스캐너,입력장치, 문서 디지털화
drone.svg,01-devices,드론,무인 항공기,IoT, 로봇 기술
satellite-dish.svg,01-devices,위성안테나,위성 수신 안테나,통신, 위성 기술
gpu.svg,01-devices,GPU,그래픽처리장치,병렬처리, AI 연산
circuit-board.svg,01-devices,회로기판,전자 회로기판,하드웨어 구조, 전자공학
nfc.svg,01-devices,NFC,근거리 무선통신,모바일 결제, 태그 인식
laptop-mini.svg,01-devices,미니노트북,경량 노트북,모바일 컴퓨팅, 크롬북
monitor-phone.svg,01-devices,모니터+폰,모니터와 스마트폰 연결,반응형 디자인, 미러링
power-on.svg,01-devices,전원켜기,전원 버튼,시스템 시작, 전원 관리
power-off.svg,01-devices,전원끄기,전원 종료 버튼,시스템 종료, 절전
screen-share.svg,01-devices,화면공유,화면 공유 기능,원격 수업, 화면 미러링
